CUR_NME,SITE_TYPE,GIS_AREA,DISTRICT
Goukamma Provincial Nature Reserve,Nature Reserve,2310,Garden Route
Gamka Mountain Provincial Nature Reserve,Nature Reserve,9592,Garden Route
De Hoop Nature Reserve,Nature Reserve,33900,Overberg
Vrolijkheid Nature Reserve,Nature Reserve,1963,Cape Winelands
Gamkapoort Nature Reserve,Nature Reserve,9192,Central Karoo
Anysberg Mountain Catchment Area,Mountain Catchment Area,6272,Central Karoo
Keurbooms River Nature Reserve,Nature Reserve,890,Garden Route
Robberg Nature Reserve,Nature Reserve,196,Garden Route
Rocher Pan Nature Reserve,Nature Reserve,930,West Coast
Salmonsdam Provincial Nature Reserve,Nature Reserve,713,Overberg
Riverlands Provincial Nature Reserve,Nature Reserve,1693,West Coast
Sinclair Nature Reserve,Forest Nature Reserve,1907,Garden Route
Ysternek Nature Reserve,Forest Nature Reserve,1196,Garden Route
Lelievlei Nature Reserve,Forest Nature Reserve,1085,Garden Route
Whiskey Creek Nature Reserve,Forest Nature Reserve,2138,Garden Route
Groot Swartberg Mountain Catchment Area,Mountain Catchment Area,9607,Garden Route
Hawequas Mountain Catchment Area,Mountain Catchment Area,51604,Cape Winelands
Klein Swartberg Mountain Catchment Area,Mountain Catchment Area,32615,Garden Route
Matjies Rivier Provincial Nature Reserve,Nature Reserve,18754,West Coast
SAS Saldanha Provincial Nature Reserve,Nature Reserve,945,West Coast
Touw Local Nature Reserve,Nature Reserve,1714,Cape Winelands
Ceres Bergfynbos Reserve,Nature Reserve,7000,Cape Winelands
Voëlvlei Provincial Nature Reserve,Nature Reserve,866,Cape Winelands
Dassieshoek Nature Reserve,Nature Reserve,765,Cape Winelands
Riviersonderend Mountain Catchment Area,Mountain Catchment Area,45277,Cape Winelands
Greyton Natuurpark,Nature Reserve,1943,Overberg
Werner Frehse Nature Reserve,Nature Reserve,166,Garden Route
Caledon Nature Reserve,Nature Reserve,259,Overberg
Maanschynkop Nature Reserve,Nature Reserve,785,Overberg
Fernkloof Nature Reserve,Nature Reserve,658,Overberg
Table Mountain National Park Marine Protected Area,Marine Protected Area,95586,City of Cape Town
Betty's Bay Marine Protected Area,Marine Protected Area,2014,Overberg
Goukamma Marine Protected Area,Marine Protected Area,3397,Garden Route
Helderberg Marine Protected Area,Marine Protected Area,240,City of Cape Town
Jutten Island Marine Protected Area,Marine Protected Area,111,West Coast
Langebaan Lagoon Marine Protected Area,Marine Protected Area,4672,West Coast
Marcus Island Marine Protected Area,Marine Protected Area,25,West Coast
Robberg Marine Protected Area,Marine Protected Area,2618,Garden Route
Sixteen Mile Beach Marine Protected Area,Marine Protected Area,10691,West Coast
